,column_name,column_type,null,key,default,extra
0,has_online_delivery,BIGINT,YES,,,
1,photos_url,VARCHAR,YES,,,
2,url,VARCHAR,YES,,,
3,price_range,BIGINT,YES,,,
4,apikey,UUID,YES,,,
5,rating_text,VARCHAR,YES,,,
6,rating_color,VARCHAR,YES,,,
7,votes,JSON,YES,,,
8,aggregate_rating,JSON,YES,,,
9,res_id,BIGINT,YES,,,
10,name,VARCHAR,YES,,,
11,has_table_booking,BIGINT,YES,,,
12,is_delivering_now,BIGINT,YES,,,
13,deeplink,VARCHAR,YES,,,
14,menu_url,VARCHAR,YES,,,
15,average_cost_for_two,BIGINT,YES,,,
16,switch_to_order_menu,BIGINT,YES,,,
17,offers,"STRUCT(offer STRUCT(added_by BIGINT, date_added TIMESTAMP, start_date DATE, applicable_on BIGINT, offer_type VARCHAR, share_url VARCHAR, ""type"" VARCHAR, restaurant_list JSON[], restaurants VARCHAR[], disclaimer VARCHAR, friendly_start_date VARCHAR, is_editable BIGINT, offer_id BIGINT, end_date DATE, friendly_end_date VARCHAR, is_active BIGINT, is_valid BIGINT, offer_text VARCHAR, voucher_id BIGINT, impressions BIGINT, status BIGINT, type_code BIGINT))[]",YES,,,
18,cuisines,VARCHAR,YES,,,
19,latitude,VARCHAR,YES,,,
20,address,VARCHAR,YES,,,
21,city,VARCHAR,YES,,,
22,country_id,BIGINT,YES,,,
23,locality_verbose,VARCHAR,YES,,,
24,city_id,BIGINT,YES,,,
25,zipcode,VARCHAR,YES,,,
26,longitude,VARCHAR,YES,,,
27,locality,VARCHAR,YES,,,
28,featured_image,VARCHAR,YES,,,
29,currency,VARCHAR,YES,,,
30,id,VARCHAR,YES,,,
31,thumb,VARCHAR,YES,,,
32,establishment_types,JSON[],YES,,,
33,events_url,VARCHAR,YES,,,
34,book_url,VARCHAR,YES,,,
35,zomato_events,"STRUCT(""event"" STRUCT(display_date VARCHAR, end_time TIME, date_added TIMESTAMP, start_date DATE, photos STRUCT(photo STRUCT(photo_id BIGINT, ""order"" BIGINT, ""type"" VARCHAR, url VARCHAR, md5sum UUID, uuid BIGINT, thumb_url VARCHAR))[], share_url VARCHAR, description VARCHAR, title VARCHAR, display_time VARCHAR, book_link VARCHAR, restaurants JSON[], disclaimer VARCHAR, friendly_start_date VARCHAR, is_end_time_set BIGINT, event_id BIGINT, end_date DATE, event_category BIGINT, friendly_end_date VARCHAR, is_active BIGINT, start_time TIME, is_valid BIGINT, event_category_name VARCHAR))[]",YES,,,
36,order_deeplink,VARCHAR,YES,,,
37,order_url,VARCHAR,YES,,,
